City,Latitude,Longitude
Tokyo,35.6897,139.6922
Tianjin,39.1467,117.2056
Shangrao,28.4419,117.9633
Yongzhou,26.4515,111.5953
Hengshui,37.7348,115.686
Harbin,45.75,126.6333
Suining,30.5098,105.5737
Salvador,-12.9747,-38.4767
Sanming,26.2658,117.6302
Depok,-6.394,106.8225
Hezhou,24.4164,111.5478
Warsaw,52.23,21.0111
Conakry,9.5092,-13.7122
Jianguang,28.1958,115.7833
Wuzhong,37.9874,106.1919
Rosario,-32.9575,-60.6394
Zhangye,38.9355,100.4553
Ciudad Nezahualcóyotl,19.4081,-99.0186
Edmonton,53.5344,-113.4903
Arequipa,-16.4,-71.5333
Valletta,35.8983,14.5125
Gitega,-3.4283,29.925
Marigot,18.0706,-63.0847
Luocheng,22.7645,111.5745
New Orleans,30.0687,-89.9288
Klang,3.0333,101.45
Honolulu,21.3294,-157.846
Hempstead,40.6629,-73.6089
Changhua,24.0667,120.5333
Concepción,-36.8282,-73.0514
Guadalupe,25.6775,-100.2597
Narela,28.8527,77.0929
Brahmapur,19.315,84.7941
Villa Nueva,14.5314,-90.5964
Tumkūr,13.34,77.1
Juiz de Fora,-21.7619,-43.3494
Poznań,52.4083,16.9336
Ardabīl,38.2425,48.29
Carrefour,18.5344,-72.4094
Taozhou,30.8956,119.411
Brookhaven,40.832,-72.9517
Salt Lake City,22.61,88.4
Kota Kinabalu,5.975,116.0725
Sāngli,16.8667,74.5667
Poughkeepsie,41.695,-73.9211
Fangting,31.1282,104.1695
Kissimmee,28.3041,-81.4169
Gwoza,11.0861,13.6914
Usulután,13.35,-88.45
Huichang,34.9136,112.7852
Wudalianchi,48.6433,126.1408
Neiva,2.9345,-75.2809
Greensboro,36.0956,-79.8271
Hangu,39.232,117.777
Debrecen,47.53,21.6392
Uíge,-7.6167,15.05
Trenton,40.2237,-74.7641
Sariwŏn,38.5064,125.7597
Bahía Blanca,-38.7167,-62.2667
Bradford,53.8,-1.75
Sonīpat,28.99,77.022
Myeik,12.4333,98.6
Gyeongsan,35.8167,128.7333
Craiova,44.3333,23.8167
Anantapur,14.68,77.599
Marilao,14.7581,120.9481
Foz do Iguaçu,-25.54,-54.5875
Taganrog,47.2167,38.9167
Khomeynī Shahr,32.7003,51.5211
Mokpo,34.7589,126.38
Halle,51.4828,11.9697
Ibb,13.9759,44.1709
Sơn Tây,21.1333,105.5
Guantánamo,20.1367,-75.2139
Longjin,22.8711,113.0684
Tchaourou,8.8833,2.6
Oviedo,43.36,-5.845
As Samāwah,31.3167,45.2833
Oberhausen,51.4967,6.8706
Ich’ŏn,37.2667,127.4333
Loures,38.8333,-9.1667
Chhindwāra,22.057,78.9396
Isanlu,8.1667,5.8
Higashi-Hiroshima,34.4167,132.7333
Trondheim,63.4297,10.3933
Rājendranagar,17.3198,78.4031
Hagen,51.3667,7.4833
Waco,31.5599,-97.1882
Trảng Bàng,11.033,106.367
Murfreesboro,35.849,-86.4121
Urayasu,35.6539,139.9022
Mauli,30.699,76.693
Syzran,53.1667,48.4667
Kaolack,14.1389,-16.0764
Magwe,4.1333,32.3
Manchester,42.9848,-71.4447
Conjeeveram,12.8308,79.7078
Jizzax,40.1158,67.8422
Ash Shīḩānīyah,25.3722,51.2047
Seixal,38.65,-9.1
Paterson,40.9147,-74.1624
Al Miqdādīyah,33.9786,44.9369
Alagoinhas,-12.1358,-38.4189
